ProviderID,Name,Region,Success,TTFB(ms),Speed(MB/s),Error,PieceCid
11,pspsps-calibnet,C=DE;ST=Bavaria;L=Nuremberg,false,0,0.00,No valid sample pieces found,
1,Kubuxu's dev node,C=FI;ST=Uusimaa;L=Helsinki,false,0,0.00,No valid sample pieces found,
6,beck-calib,C=CN;ST=Zhejiang;L=Hangzhou,true,783,0.28,,bafkzcibe3kjqcdqjjn4sz7k5zuompsx3phjddwheikfdfhxgbe5xnxuyw4zs4g3jhu
2,ezpdpz-calib2,C=GB;ST=Gloucestershire;L=Cheltenham,true,775,0.30,,bafkzcibe3kjqcdqjjn4sz7k5zuompsx3phjddwheikfdfhxgbe5xnxuyw4zs4g3jhu
4,infrafolio-calib,C=US;ST=Texas;L=Austin,true,923,0.23,,bafkzcibe3kjqcdqjjn4sz7k5zuompsx3phjddwheikfdfhxgbe5xnxuyw4zs4g3jhu
7,kernelogic-pdp-calib,C=CA;ST=British Columbia;L=Vancouver,true,1093,0.00,,bafkzcibdvedqmau6e7hnrhli5okjkup77zxi4jed5a57mzojbrqa2cglixxuihqn
10,MinerTiger,C=CN;ST=ShanXi;L=Xi An,false,0,0.00,No valid sample pieces found,
9,ezpdpz-calib,C=GB;ST=Gloucestershire;L=Cheltenham,true,722,0.29,,bafkzcibe3kjqcdqjjn4sz7k5zuompsx3phjddwheikfdfhxgbe5xnxuyw4zs4g3jhu
8,test-pdp-filstarry,C=HK;ST=HongKong;L=HongKong,true,1986,0.13,,bafkzcibe3kjqcdqjjn4sz7k5zuompsx3phjddwheikfdfhxgbe5xnxuyw4zs4g3jhu
5,Mongo2Stor,C=US;ST=California;L=Chino,true,1164,0.16,,bafkzcibe3kjqcdqjjn4sz7k5zuompsx3phjddwheikfdfhxgbe5xnxuyw4zs4g3jhu
